id_velov,year,month,day,hour,minute,bikes,bike_stands,departure30min,arrival30min
velov-10001,2021,12,1,0,0,2,25,0,0
velov-10001,2021,12,1,0,0,2,25,0,0
velov-10001,2021,12,1,0,30,1,26,0,0
velov-10001,2021,12,1,1,0,3,24,0,2
velov-10001,2021,12,1,1,30,3,24,0,0
velov-10001,2021,12,1,2,0,3,24,0,0
velov-10001,2021,12,1,2,30,3,24,0,0
velov-10001,2021,12,1,3,0,3,24,0,0
velov-10001,2021,12,1,3,30,3,24,0,0
velov-10001,2021,12,1,4,0,4,23,0,1
velov-10001,2021,12,1,4,30,4,23,0,0
velov-10001,2021,12,1,5,0,4,23,0,0
velov-10001,2021,12,1,5,30,4,23,0,0
velov-10001,2021,12,1,6,0,5,22,0,1
velov-10001,2021,12,1,6,30,5,22,0,0
velov-10001,2021,12,1,7,0,22,5,0,17
velov-10001,2021,12,1,7,30,26,1,0,1
velov-10001,2021,12,1,8,0,26,1,1,0
velov-10001,2021,12,1,8,30,27,0,0,0
velov-10001,2021,12,1,9,0,27,0,0,0
velov-10001,2021,12,1,9,30,27,0,0,2
velov-10001,2021,12,1,10,0,25,2,2,0
velov-10001,2021,12,1,10,30,21,6,4,0
velov-10001,2021,12,1,11,0,16,11,6,1
velov-10001,2021,12,1,11,30,12,15,4,6
velov-10001,2021,12,1,12,0,13,14,0,1
velov-10001,2021,12,1,12,30,17,12,0,4
velov-10001,2021,12,1,13,0,21,8,0,5
velov-10001,2021,12,1,13,30,20,9,3,2
velov-10001,2021,12,1,14,0,20,9,0,0
velov-10001,2021,12,1,14,30,20,10,1,1
velov-10001,2021,12,1,15,0,23,7,1,4
velov-10001,2021,12,1,15,30,15,15,7,0
velov-10001,2021,12,1,16,0,6,24,5,0
velov-10001,2021,12,1,16,30,5,25,3,2
velov-10001,2021,12,1,17,0,2,28,5,2
velov-10001,2021,12,1,17,30,0,30,1,1
velov-10001,2021,12,1,18,0,0,30,0,0
velov-10001,2021,12,1,18,30,0,30,0,0
velov-10001,2021,12,1,19,0,4,26,1,4
velov-10001,2021,12,1,19,30,7,23,0,2
velov-10001,2021,12,1,20,0,8,22,1,1
velov-10001,2021,12,1,20,30,7,23,1,0
velov-10001,2021,12,1,21,0,5,25,3,1
velov-10001,2021,12,1,21,30,3,27,2,0
velov-10001,2021,12,1,22,0,5,25,0,1
velov-10001,2021,12,1,22,30,5,25,0,0
velov-10001,2021,12,1,23,0,5,25,0,0
velov-10001,2021,12,1,23,30,4,26,1,0
velov-10001,2021,12,2,0,0,4,26,0,0
velov-10001,2021,12,2,0,0,4,26,0,0
velov-10001,2021,12,2,0,30,5,25,0,1
velov-10001,2021,12,2,1,0,5,25,0,0
velov-10001,2021,12,2,1,30,5,25,0,0
velov-10001,2021,12,2,2,0,5,25,0,0
velov-10001,2021,12,2,2,30,5,25,0,0
velov-10001,2021,12,2,3,0,5,25,0,0
velov-10001,2021,12,2,3,30,5,25,0,0
velov-10001,2021,12,2,4,0,5,25,0,0
velov-10001,2021,12,2,4,30,5,25,0,0
velov-10001,2021,12,2,5,0,5,25,0,0
velov-10001,2021,12,2,5,30,5,25,0,0
velov-10001,2021,12,2,6,0,5,25,0,0
velov-10001,2021,12,2,6,30,6,24,0,0
velov-10001,2021,12,2,7,0,23,6,0,17
velov-10001,2021,12,2,7,30,29,0,0,4
velov-10001,2021,12,2,8,0,28,1,1,0
velov-10001,2021,12,2,8,30,27,2,1,0
velov-10001,2021,12,2,9,0,26,3,1,1
velov-10001,2021,12,2,9,30,23,6,2,1
velov-10001,2021,12,2,10,0,22,7,1,0
velov-10001,2021,12,2,10,30,21,8,1,0
velov-10001,2021,12,2,11,0,13,15,8,0
velov-10001,2021,12,2,11,30,2,27,10,2
velov-10001,2021,12,2,12,0,6,23,1,5
velov-10001,2021,12,2,12,30,20,9,2,13
velov-10001,2021,12,2,13,0,22,7,0,2
velov-10001,2021,12,2,13,30,21,8,2,0
velov-10001,2021,12,2,14,0,22,8,0,2
velov-10001,2021,12,2,14,30,25,5,2,5
velov-10001,2021,12,2,15,0,5,25,15,0
velov-10001,2021,12,2,15,30,0,30,4,0
velov-10001,2021,12,2,16,0,0,30,0,0
velov-10001,2021,12,2,16,30,1,29,0,1
velov-10001,2021,12,2,17,0,1,29,1,1
velov-10001,2021,12,2,17,30,2,28,0,2
velov-10001,2021,12,2,18,0,3,27,1,2
velov-10001,2021,12,2,18,30,2,28,5,2
velov-10001,2021,12,2,19,0,5,25,0,3
velov-10001,2021,12,2,19,30,8,22,0,2
velov-10001,2021,12,2,20,0,8,22,2,2
velov-10001,2021,12,2,20,30,8,22,0,0
velov-10001,2021,12,2,21,0,6,24,2,0
velov-10001,2021,12,2,21,30,3,27,3,0
velov-10001,2021,12,2,22,0,2,28,2,1
velov-10001,2021,12,2,22,30,2,28,0,0
velov-10001,2021,12,2,23,0,2,28,0,0
velov-10001,2021,12,2,23,30,3,27,0,1
velov-10001,2021,12,3,0,0,3,27,0,0
velov-10001,2021,12,3,0,0,3,27,0,0
velov-10001,2021,12,3,0,30,3,27,0,0
velov-10001,2021,12,3,1,0,3,27,0,0
velov-10001,2021,12,3,1,30,3,27,0,0
velov-10001,2021,12,3,2,0,3,27,0,0
velov-10001,2021,12,3,2,30,3,27,0,0
velov-10001,2021,12,3,3,0,3,27,0,0
velov-10001,2021,12,3,3,30,3,27,0,0
velov-10001,2021,12,3,4,0,3,27,0,0
velov-10001,2021,12,3,4,30,3,27,0,0
velov-10001,2021,12,3,5,0,3,27,0,0
velov-10001,2021,12,3,5,30,3,27,0,0
velov-10001,2021,12,3,6,0,3,27,0,0
velov-10001,2021,12,3,6,30,4,26,0,0
velov-10001,2021,12,3,7,0,17,13,0,13
velov-10001,2021,12,3,7,30,21,9,0,4
velov-10001,2021,12,3,8,0,23,7,0,1
velov-10001,2021,12,3,8,30,24,6,0,1
velov-10001,2021,12,3,9,0,19,11,5,0
velov-10001,2021,12,3,9,30,23,7,0,4
velov-10001,2021,12,3,10,0,24,6,0,1
velov-10001,2021,12,3,10,30,19,11,3,0
velov-10001,2021,12,3,11,0,9,19,9,0
velov-10001,2021,12,3,11,30,4,26,1,4
velov-10001,2021,12,3,12,0,16,14,1,8
velov-10001,2021,12,3,12,30,19,11,2,3
velov-10001,2021,12,3,13,0,17,13,6,2
velov-10001,2021,12,3,13,30,19,11,1,1
velov-10001,2021,12,3,14,0,20,10,0,1
velov-10001,2021,12,3,14,30,17,13,3,1
velov-10001,2021,12,3,15,0,12,18,5,0
velov-10001,2021,12,3,15,30,13,17,0,3
velov-10001,2021,12,3,16,0,12,18,1,0
velov-10001,2021,12,3,16,30,4,26,7,0
velov-10001,2021,12,3,17,0,0,30,1,1
velov-10001,2021,12,3,17,30,0,30,1,1
velov-10001,2021,12,3,18,0,0,30,0,0
velov-10001,2021,12,3,18,30,0,30,2,2
velov-10001,2021,12,3,19,0,2,28,2,2
velov-10001,2021,12,3,19,30,3,27,1,1
velov-10001,2021,12,3,20,0,2,28,2,1
velov-10001,2021,12,3,20,30,4,26,1,3
velov-10001,2021,12,3,21,0,5,25,0,0
velov-10001,2021,12,3,21,30,5,25,0,0
velov-10001,2021,12,3,22,0,5,25,0,0
velov-10001,2021,12,3,22,30,5,25,0,0
velov-10001,2021,12,3,23,0,3,27,2,0
velov-10001,2021,12,3,23,30,4,26,0,1
velov-10001,2021,12,4,0,0,4,26,1,1
velov-10001,2021,12,4,0,0,4,26,0,1
velov-10001,2021,12,4,0,30,4,26,1,1
velov-10001,2021,12,4,1,0,4,26,0,0
velov-10001,2021,12,4,1,30,3,27,2,1
velov-10001,2021,12,4,2,0,0,30,3,0
velov-10001,2021,12,4,2,30,0,30,0,0
velov-10001,2021,12,4,3,0,1,29,2,3
velov-10001,2021,12,4,3,30,6,24,0,3
velov-10001,2021,12,4,4,0,6,24,0,1
velov-10001,2021,12,4,4,30,6,24,0,0
velov-10001,2021,12,4,5,0,7,23,0,1
velov-10001,2021,12,4,5,30,7,23,0,0
velov-10001,2021,12,4,6,0,10,20,0,3
